review_body,stars,labels
"🌈ห้างต.เง๊กชวนขนมเบื้องแม่ประภาบางลำพู

🌺ขนมเบื้องไทย (10 ชิ้น 160 บาท) - อร่อยม๊ากก เครื่องแน่น ฝอยทองหวานน้อย อร่อยจัง มะพร้าวกวนหนานุ่มกรุบๆ แป้งบางกรอบกลางๆ 10/10

🌺พิกัด - ห้างต.เง๊กชวนขนมเบื้องแม่ประภาบางลำพู
https://maps.app.goo.gl/Yp9onPtwzr8o5642A
เปิด 9-18 น
โทร 0909983296
สั่งผ่าน lineman 

🌺ราคา - ไม่แพง คุ้ม 9/10

#WongnaiThaiSpecialist 
#StreetFoodSpecialist

🌈ป ชวนชิม
☀Custo...",5,positive
"ร้านนี้เป็นร้านโปรดของเพื่อนๆ ที่เรามาแวะหลังจากกลับจากพัทยา ตอนแรกก็งงๆ ว่า ต้องมากินร้านนี้เลยหรอ พอมาถึงโห...คนเพียบ ลานจอดรถคนเต็ม เดินเข้ามาในร้าน โต๊ะเต็มๆเลย ร้านดูดีทีเดียวค่ะ ทางเดินไม้ยาวๆ เรามาทานตอนกลางวัน ค่อนข้างร้อนนิดหน่อย แต่ได้โต๊ะนั่งข้างนอก ถ้ามาตอนเย็นคงจะวิวดีน่าดู

พอได้โต๊ะนั่ง เราหมู่ชาวคณะก็สั่งๆๆ เพราะมีเด็กน้อยมาด้วย อาหารก็จะประมาณเอาใจเด็กเล็กๆ 
มีแมลงวันพอ กล้อ...",4,positive
"เป็นร้านอาหารเหนือที่มาเชียงใหม่แนะนำควรมาจัดเลย รสชาติดี เหมาะแก่การมาลอง

•ออเดิฟเมือง ⭐️⭐️⭐️⭐️⭐️
-มาเป็นเสร็จพร้อมเสิร์ฟ น้ำพริกรสชาติดี พร้อมเครื่องเคียงจัดไปจ้า เอาไป 5 จ้า

•ไส้อั่ว
-รสชาติดีพอได้เลยนะ เอาไป 3 จ้า

โดยรวมดีเลยนะ อร่อยดี ดูรสชาติบ้านๆดี",5,positive
"ร้านตั้งอยู่ในนิมมานซอย 17 ไม่ค่อยมีที่จอดรถ เปิดทุกวันตั้งแต่เวลา 09.00-21.00น. มีครบทั้งอาหารคาวหวานและของทานเล่น คั่วไก่อบไข่กระทะร้อน (75฿) จานร้อนจริงเวลาทานต้องระวัง เส้นนุ่มหอมกระทะ ราดหน้าเส้นกรอบหมูนุ่ม (70฿) เส้นหมี่กุ้งผัดน้ำพริกเผา (120฿) และของทานเล่นเต้าหู้ทอด(70฿) ลูกชิ้นหมูปิ้ง (50฿) คั่วไก่กับราดหน้าอร่อยมาก อาหารอย่างอื่นธรรมดา ราคาไม่แพง 

#Wongnaisongkran2023",5,positive
"The dining room Hyatt erawan

ที่ตั้ง : โรงแรมไฮแอทเอราวัณ

สไตล์ร้าน : โถงทางเดินกลางโรงแรม

อาหาร : บุฟเฟ่ต์วันอาทิตย์ ลด 50% กับ eatigo ช่วง 13.30 น. รวมๆแล้วหัวละ 1500 บาท
- แกะย่างดีมาก เติมตลอด เนื้อ แฮม แบบย่าง ไม่อร่อยเท่าแกะ
- ปลาดิบดี เติมตลอดเช่นกัน มีฮามาจิด้วย
- เป็ดปักกิ่งเหนียว แต่ก็พอกินได้หายอยาก ติ่มซำเฉยๆ
- ฟัวกราดีมาก ขนาดทอดมาน้ำมันเยิ้มแต่ว่าไม่เลี่ยนกินไปเยอะมาก...",5,positive
"เป็นร้านซูชิชื่อดัง ที่ยังรักษาชื่อเสียงและมาตรฐานความสดอร่อยไว้ได้ไม่เปลี่ยน ไปกี่ที่ก็คนเยอะ ต้องรอคิว 
สำหรับคุณภาพอาหารครั้งนี้ ปลาดิบสด และหอมอร่อยนุ่มลิ้น ซูชิชิ้นกลางๆ พอดีคำ ไม่ทำให้ผิดหวังจริงๆ 
เลยยอมให้อภัยเรื่องราคาสูงปรี๊ดได้อยู่",5,positive
"ถ้าทานที่ร้านจะมีเมนูหลายอย่างให้เลือกได้

เจลาโต้คือดีงาม
กาแฟ ถือว่าดีอยู่นะ

ไปหลายคนสั่งหลายอย่างจะดีงามมากๆ

ตอนนี้ที่กทม. มีโปร 2 แถม 1 อัลมอนด์ครัวซอง คือดีงามไปอีก แถมว่ากินไม่อุ่นยังอร่อย
อต่ถึงราคาเต็ม 120 ก็ยังคุ้มอยู่ดี",5,positive
"ในฐานะที่เป็นคนรักสเต๊ก วันนี้ดีใจที่ได้มาลองร้าน ""El Gaucho Argentinian Steakhouse"" ซึ่งตั้งอยู่ต้นซอยสุขุมวิท 19 มีที่จอดรถกระจัดกระจายกันไปตามข้างถนน หรือที่จอดรถของ Terminal 21 ตั้งอยู่ติดกัน เดินเข้าไปในร้านก็รู้สึกถึงบรรยากาศและการตกแต่งแบบสนุกๆเป็นกันเองไม่เรื่องมาก  มีฝรั่งนั่งอยู่เกือบเต็มพื้นที่ พออ้าปากพูดก็เข้าใจเหตุผลทันที เพราะบริกรเกือบทุกคนพูดภาษาไทยไม่ได้ เป็นชาวฟิลิปปินส์เป็นส...",5,positive
"ร้านนี้คือจะอยู่ซอกๆของMBKนิดนึง แต่ก็ไม่ยากถ้าจะหา
ปลาค่อนข้างสด สั่งของไปก็คือได้ครบตลอด 
สิ่งที่ชอบมากๆคือข้อไก่ทอด คือไปกินกี่ครั้งก็จะร้อนและกรอบอร่อยทุกครั้ง 
ชอบซูชิที่มีไข่ปลาๆอยู่ด้านบนพันด้วยแซลมอน คือชิ้นนั้นจะให้ข้าวมาครึ่งนึง ชอบมาก
หัวปลานึ่งซีอิ๊วก็ดีเปื่อยๆ
สั่งยำปลาแซลมอนมากินแก้เลี่ยนก็ดีค่ะ คือน้ำยำทำมาได้รสชาติดีเลย",5,positive
อร่อยมากค่ะ ราคาก็ไม่แพงมาก สั่งแปปเดียวก็ได้แล้ว สรุปพอใจกับร้านนี้มากค่ะ,5,positive
ร้านริมฟุตบาทชื่อดัง มาลองครั้งแรกเพราะอยู่ไม่ไกลจากบ้าน สั่งปูอบวุ้นเส้นไป 1 หม้อ ราคา หม้อละ 600 มั้งจำไม่ได้ แต่รสชาตินี่สุดยอดมากกๆๆคะ  ปูสดตัวใหญ่แต่ทีเด็ดที่สุดเลยคือวุ้นเส้น เหนียวนุ่มละลายในปากเลย คราวหน้ารู้ละ บอกสั่งเพิ่มวุ้นเส้นจะได้กินแบบสะใจกันไปพลาดไม่ได้กับเมนูอบวุ้นเส้น หาตัวจับยากจริงๆ,5,positive
